id,fold-subject-independent
10_train,1
24_train,1
38_train,1
51_train,1
11_train,1
25_train,1
39_train,1
52_train,1
0_train,1
14_train,1
28_train,1
1_train,1
12_train,1
15_train,1
26_train,1
29_train,1
40_train,1
42_train,1
53_train,1
2_train,2
16_train,2
30_train,2
43_train,2
3_train,2
17_train,2
31_train,2
44_train,2
4_train,2
18_train,2
32_train,2
45_train,2
5_train,2
19_train,2
33_train,2
46_train,2
6_train,2
13_train,2
20_train,2
27_train,2
34_train,3
41_train,3
47_train,3
54_train,3
7_train,3
21_train,3
35_train,3
48_train,3
8_train,3
22_train,3
36_train,3
49_train,3
9_train,3
23_train,3
37_train,3
50_train,3
0_val,4
1_val,4
2_val,4
3_val,4
4_val,4
5_val,4
6_val,4
7_val,4
8_val,4
9_val,4
10_val,4
11_val,4
12_val,4
13_val,4
14_val,4
15_val,4
